Date,Open,High,Low,Close,Adj Close,Volume
2019-08-30,1664.949951,1696.099976,1652,1690.449951,1690.449951,936781
2019-09-03,1688,1716,1612.599976,1624.699951,1624.699951,2090282
2019-09-04,1634,1652.900024,1597.949951,1641.199951,1641.199951,1819304
2019-09-05,1638,1642.650024,1616.050049,1632,1632,893530
2019-09-06,1634,1654.699951,1634,1648.650024,1648.650024,697759
2019-09-09,1647,1684.5,1635.349976,1675.650024,1675.650024,758609
2019-09-11,1670.099976,1689.800049,1655.199951,1664.050049,1664.050049,610667
2019-09-12,1665,1737.949951,1662,1723.050049,1723.050049,2212967
2019-09-13,1728.900024,1735.900024,1704.150024,1718.849976,1718.849976,975397
2019-09-16,1669.949951,1681.900024,1652.099976,1671.5,1671.5,1058230
2019-09-17,1660,1688,1652,1667.599976,1667.599976,1001997
2019-09-18,1686,1720,1673.099976,1677.800049,1677.800049,599249
2019-09-19,1683,1701.5,1662.650024,1693.949951,1693.949951,720758
2019-09-20,1698.199951,1777,1670.400024,1738.300049,1738.300049,1844392
2019-09-23,1735,1829,1727.199951,1803.800049,1803.800049,1076164
2019-09-24,1810,1832.699951,1791.699951,1817.900024,1817.900024,782292
2019-09-25,1822.300049,1830,1793,1803.550049,1803.550049,632284
2019-09-26,1827,1882.849976,1821,1871,1871,1780266
2019-09-27,1859,1874.650024,1829.699951,1851.800049,1851.800049,740839
2019-09-30,1853,1898.849976,1832.699951,1889.650024,1889.650024,1090939
2019-10-01,1878,1888.849976,1854,1869.900024,1869.900024,811298
2019-10-03,1812.099976,1847.699951,1780.550049,1826.050049,1826.050049,1184111
2019-10-04,1843.75,1843.75,1788.050049,1809.599976,1809.599976,910904
2019-10-07,1805,1821,1771,1795.150024,1795.150024,539117
2019-10-09,1800,1804,1763.050049,1796.449951,1796.449951,681454
2019-10-10,1790,1814.300049,1780.300049,1790.099976,1790.099976,409189
2019-10-11,1799,1800,1741.550049,1749.650024,1749.650024,688813
2019-10-14,1750,1772.900024,1738.550049,1766.75,1766.75,456697
2019-10-15,1769.099976,1771.699951,1748,1752.050049,1752.050049,561407
2019-10-16,1753,1763.650024,1706.300049,1725.800049,1725.800049,926096
2019-10-17,1717,1742.150024,1692.150024,1736.349976,1736.349976,1367203
2019-10-18,1729,1748,1706.050049,1729.900024,1729.900024,1000146
