Date,Open,High,Low,Close,Adj Close,Volume
2019-07-16,1279.949951,1294.900024,1277.050049,1293,1285.945923,4604019
2019-07-17,1294.300049,1297,1280,1281.849976,1274.856689,4334958
2019-07-18,1282,1286.400024,1258,1261.849976,1254.96582,5459896
2019-07-19,1268.199951,1272.949951,1242.699951,1249,1242.185913,7468515
2019-07-22,1251,1284.5,1227.300049,1280.5,1273.514038,13300153
2019-07-23,1285,1293.900024,1260.400024,1273.550049,1266.602051,9287951
2019-07-24,1273.5,1278.800049,1253.550049,1259.099976,1252.230835,6943982
2019-07-25,1264,1269.050049,1227,1231.5,1224.781372,9968545
2019-07-26,1231.5,1242.5,1210,1213.800049,1207.177979,9320481
2019-07-29,1216.900024,1222,1205.099976,1210.949951,1204.343506,8058035
2019-07-30,1213.949951,1220,1175.949951,1180.900024,1174.45752,9533344
2019-07-31,1175.75,1185,1162.400024,1166.25,1159.887451,9705619
2019-08-01,1163.400024,1188.199951,1150.349976,1180.25,1173.811035,10344862
2019-08-02,1175.699951,1198.25,1162.099976,1184.349976,1184.349976,10865385
2019-08-05,1167,1167,1128,1143.349976,1143.349976,13897461
2019-08-06,1134.75,1149.599976,1122,1128.300049,1128.300049,13288909
2019-08-07,1126.5,1138.550049,1103.099976,1109.400024,1109.400024,11588879
2019-08-08,1108.349976,1158,1095.300049,1152.349976,1152.349976,14262936
2019-08-09,1161.849976,1175.5,1152.300049,1162.099976,1162.099976,10043949
2019-08-13,1233.150024,1302.800049,1226,1274.75,1274.75,47923444
2019-08-14,1304,1304.449951,1280.349976,1288.25,1288.25,14487137
2019-08-16,1291.199951,1291.800049,1273,1278,1278,10047496
2019-08-19,1281.050049,1296.800049,1280,1292.599976,1292.599976,7459859
2019-08-20,1289.800049,1292.599976,1272.599976,1275.949951,1275.949951,6843460
2019-08-21,1275.650024,1278.650024,1266.5,1270.949951,1270.949951,4881553
2019-08-22,1270.949951,1271,1238.900024,1246.75,1246.75,6414937
2019-08-23,1239,1284,1226.5,1275.849976,1275.849976,9741262
2019-08-26,1294,1294,1259,1266.800049,1266.800049,8778739
2019-08-27,1285,1285,1261.199951,1274.849976,1274.849976,12984396
2019-08-28,1273.75,1281,1256.050049,1263.300049,1263.300049,5305639
2019-08-29,1256.449951,1260.25,1235.300049,1241.75,1241.75,8635974
2019-08-30,1245.5,1254.400024,1221,1248.550049,1248.550049,11308120
2019-09-03,1242.25,1243,1200,1206.400024,1206.400024,8563009
2019-09-04,1200.550049,1205.25,1186.050049,1201.150024,1201.150024,15063355
2019-09-05,1206.800049,1213.199951,1193.300049,1198.599976,1198.599976,10512763
2019-09-06,1203,1229,1195.25,1222.5,1222.5,10600234
2019-09-09,1220.650024,1233,1213.150024,1222.199951,1222.199951,5370758
2019-09-11,1222.5,1240,1222.5,1234.400024,1234.400024,5544468
2019-09-12,1235,1240.449951,1205.699951,1210.349976,1210.349976,5431139
2019-09-13,1212,1228.5,1206.900024,1225.599976,1225.599976,5919260
2019-09-16,1189,1219.099976,1186.099976,1210.75,1210.75,9393731
2019-09-17,1211,1211,1193.5,1197.449951,1197.449951,7150435
2019-09-18,1204.949951,1216.300049,1197.199951,1205.699951,1205.699951,6827281
2019-09-19,1207.849976,1209.699951,1172.650024,1179.050049,1179.050049,6293454
2019-09-20,1187.949951,1269.900024,1174.300049,1254.349976,1254.349976,22019674
2019-09-23,1274.150024,1281,1235,1239.199951,1239.199951,9879751
2019-09-24,1243.599976,1298.800049,1242.75,1278.699951,1278.699951,15982067
2019-09-25,1284,1295,1268.849976,1279.550049,1279.550049,8316894
2019-09-26,1292,1298.800049,1283.5,1296.800049,1296.800049,8389212
2019-09-27,1292.5,1315,1284,1309.050049,1309.050049,8712980
2019-09-30,1310,1335.75,1305.550049,1332.25,1332.25,11549746
2019-10-01,1337,1342,1293.300049,1304.900024,1304.900024,8192597
2019-10-03,1286,1314.699951,1281.300049,1311.050049,1311.050049,6183107
2019-10-04,1319.900024,1328.599976,1303.849976,1308.099976,1308.099976,6853954
2019-10-07,1308.099976,1320.800049,1301.699951,1310.099976,1310.099976,4599818
2019-10-09,1308.699951,1329.949951,1292.5,1324.75,1324.75,8040938
2019-10-10,1325,1369,1321,1362.75,1362.75,16003744
2019-10-11,1363.699951,1365.599976,1336.550049,1352.599976,1352.599976,7587648
2019-10-14,1364.949951,1364.949951,1350.849976,1358,1358,6123412
2019-10-15,1362.5,1370,1354.300049,1364.150024,1364.150024,4422075
2019-10-16,1369.900024,1379.650024,1363.699951,1372.349976,1372.349976,8870701
2019-10-17,1375,1399,1372,1396.5,1396.5,7332464
2019-10-18,1404,1427.900024,1398.699951,1416.349976,1416.349976,12856410
2019-10-22,1425,1436.849976,1403.349976,1414.150024,1414.150024,12703054
2019-10-23,1416.300049,1425.949951,1383.150024,1392.400024,1392.400024,8432964
2019-10-24,1401,1441.400024,1386.550049,1436.449951,1436.449951,10351384
2019-10-25,1441.099976,1441.449951,1411.25,1431.199951,1431.199951,6190013
2019-10-29,1445.5,1480,1442.099976,1467.050049,1467.050049,11780494
2019-10-30,1480,1484.550049,1460.300049,1479.099976,1479.099976,7470723
2019-10-31,1484,1489.650024,1461.699951,1464.349976,1464.349976,8898168
2019-11-01,1455,1461.800049,1441,1456.900024,1456.900024,6356579
2019-11-04,1465.900024,1471,1445.099976,1457.650024,1457.650024,6429329
2019-11-05,1463.099976,1468.949951,1441,1447.300049,1447.300049,5799318
2019-11-06,1442.699951,1446.449951,1428.5,1434.900024,1434.900024,6686289
2019-11-07,1435,1463,1432.199951,1458.599976,1458.599976,6438749
2019-11-08,1449,1459.650024,1441.300049,1445.5,1445.5,5494844
2019-11-11,1439.099976,1444.25,1422.550049,1427.800049,1427.800049,5192423
2019-11-13,1430,1475.900024,1430,1472.300049,1472.300049,11532364
2019-11-14,1476,1481.599976,1455.800049,1462.75,1462.75,6518339
2019-11-15,1465.650024,1486.800049,1463.150024,1470.849976,1470.849976,7173674
2019-11-18,1472.650024,1486,1455.400024,1459.199951,1459.199951,6435097
2019-11-19,1467,1514.900024,1465,1509.75,1509.75,13795569
2019-11-20,1555.050049,1572.400024,1543.199951,1547.650024,1547.650024,19904164
2019-11-21,1545,1556,1528.550049,1537.599976,1537.599976,6810577
2019-11-22,1542.099976,1569.5,1537.599976,1546.5,1546.5,10218978
2019-11-25,1551.150024,1564.800049,1551,1561.550049,1561.550049,6924313
2019-11-26,1568.099976,1576.349976,1556,1560.25,1560.25,16152137
2019-11-27,1559.949951,1575.5,1556.099976,1569.849976,1569.849976,4408336
2019-11-28,1572.650024,1584.150024,1563.949951,1580.300049,1580.300049,6284885
2019-11-29,1581.949951,1581.949951,1547.849976,1551.150024,1551.150024,8484822
2019-12-02,1600,1614.449951,1577,1586.5,1586.5,14275186
2019-12-03,1592.75,1594,1572.599976,1578.900024,1578.900024,5938786
2019-12-04,1573,1577.5,1533.75,1552.699951,1552.699951,9594828
2019-12-05,1574,1579.75,1544,1550.849976,1550.849976,9117022
2019-12-06,1553,1568,1541.099976,1554.900024,1554.900024,5982129
2019-12-09,1556.150024,1577.400024,1546.5,1572.599976,1572.599976,5779807
2019-12-10,1572.050049,1573.599976,1554.150024,1561.949951,1561.949951,4650906
2019-12-11,1555.599976,1574.5,1550.599976,1562.400024,1562.400024,5652698
2019-12-12,1570.25,1573.849976,1556.650024,1568.199951,1568.199951,4720977
2019-12-13,1580,1590,1572.400024,1582.900024,1582.900024,5791522
2019-12-16,1592,1593.900024,1564.349976,1566.599976,1566.599976,5436951
2019-12-17,1566.75,1579,1555.550049,1562.699951,1562.699951,9291724
2019-12-18,1563,1580,1562,1575.849976,1575.849976,6739582
2019-12-19,1573.699951,1614.900024,1571.800049,1609.949951,1609.949951,9375484
2019-12-20,1615,1617.550049,1596.099976,1599.099976,1599.099976,9724619
2019-12-23,1560.099976,1577.550049,1557.800049,1571.400024,1571.400024,11478429
2019-12-24,1568.900024,1572.050049,1542.5,1546.449951,1546.449951,8251144
2019-12-26,1541.650024,1552.949951,1510.150024,1515.400024,1515.400024,13605737
2019-12-27,1527,1546.199951,1521.300049,1542.349976,1542.349976,8081591
2019-12-30,1545.949951,1547.650024,1528.050049,1544.199951,1544.199951,7828402
2019-12-31,1542,1543.699951,1508.050049,1514.050049,1514.050049,10150467
2020-01-01,1518,1527.099976,1505.5,1509.599976,1509.599976,6402372
2020-01-02,1512,1540.949951,1512,1535.300049,1535.300049,8096561
2020-01-03,1533,1541.650024,1523,1537.150024,1537.150024,9593498
2020-01-06,1520,1527.900024,1498,1501.5,1501.5,11209343
2020-01-07,1519,1534.5,1513.5,1524.599976,1524.599976,7627191
2020-01-08,1515,1534.449951,1510,1513.150024,1513.150024,7336561
2020-01-09,1538.599976,1550,1531.25,1548,1548,6849606
2020-01-10,1551.900024,1557.949951,1539.650024,1547.650024,1547.650024,5704686
2020-01-13,1545.050049,1558.699951,1538.400024,1543.699951,1543.699951,8358090
2020-01-14,1540,1550,1521.849976,1529.400024,1529.400024,7230788
2020-01-15,1535.849976,1539.900024,1518.25,1523.849976,1523.849976,7231393
2020-01-16,1529,1543.349976,1528,1537.900024,1537.900024,5873662
2020-01-17,1553.5,1584.949951,1553.199951,1581,1581,13469708
2020-01-20,1609,1609,1526.400024,1532.349976,1532.349976,14878868
2020-01-21,1528.599976,1545.849976,1522,1533.900024,1533.900024,8650831
2020-01-22,1544,1546.75,1531.099976,1533.349976,1533.349976,4719245
2020-01-23,1536.5,1541.949951,1520.699951,1526.849976,1526.849976,5142088
2020-01-24,1527,1536.349976,1518.550049,1521.550049,1521.550049,6687633
2020-01-27,1514.900024,1524.449951,1505,1506.550049,1506.550049,6120429
2020-01-28,1508.599976,1510,1463.599976,1471.75,1471.75,11215313
2020-01-29,1474.050049,1494.400024,1464.050049,1479.849976,1479.849976,11313297
2020-01-30,1479,1479.699951,1440,1443.75,1443.75,10241756
2020-01-31,1453,1453.25,1407.199951,1411.650024,1411.650024,15886673
2020-02-03,1369.900024,1399.949951,1363.050049,1385.5,1385.5,14040626
2020-02-04,1400,1432.5,1397.800049,1426.400024,1426.400024,11604666
2020-02-05,1434.900024,1452.800049,1430.300049,1448.5,1448.5,8444823
2020-02-06,1454.099976,1467,1440.099976,1457.800049,1457.800049,7103715
2020-02-07,1451,1452.349976,1428.300049,1433.650024,1433.650024,5581641
2020-02-10,1428,1445.5,1410.449951,1435.599976,1435.599976,6922631
2020-02-11,1447.400024,1466.199951,1445.050049,1452.75,1452.75,6400245
2020-02-12,1456.150024,1474.849976,1455,1470.300049,1470.300049,6187091
2020-02-13,1477.75,1477.75,1462.599976,1474.150024,1474.150024,6201763
2020-02-14,1477.25,1501.449951,1453.099976,1487.599976,1487.599976,9704655
2020-02-17,1489,1506.150024,1474.300049,1478.25,1478.25,6011340
2020-02-18,1475.900024,1475.900024,1457.400024,1467.400024,1467.400024,5086964
2020-02-19,1479.349976,1506.449951,1475.099976,1503.800049,1503.800049,6438918
2020-02-20,1497,1508,1483.800049,1485.949951,1485.949951,7722577
2020-02-24,1469.75,1477,1439.550049,1444.949951,1444.949951,9769743
2020-02-25,1451.400024,1451.400024,1410,1416.400024,1416.400024,12684109
2020-02-26,1410,1412.349976,1387.349976,1392,1392,13423661
2020-02-27,1388,1393.800049,1369,1386.25,1386.25,11454300
2020-02-28,1354.900024,1357,1325,1328.650024,1328.650024,17973847
2020-03-02,1355.099976,1369,1301.099976,1316.150024,1316.150024,13486634
2020-03-03,1329.699951,1353.900024,1322,1342.849976,1342.849976,12525809
2020-03-04,1352,1353.800049,1307.900024,1339.699951,1339.699951,10105782
2020-03-05,1352.199951,1357.949951,1306,1311.150024,1311.150024,13948324
2020-03-06,1270,1288.150024,1241.099976,1271,1271,15422068
2020-03-09,1240.050049,1241,1095,1114.150024,1114.150024,40316138
2020-03-11,1108,1178.449951,1108,1153.550049,1153.550049,27237321
2020-03-12,1085,1101,1048.699951,1063,1063,25587823
2020-03-13,998,1140,942.400024,1105.300049,1105.300049,33509107
2020-03-16,1060.550049,1079.699951,1005,1015.700012,1015.700012,17592794
2020-03-17,1047.25,1060,1003.200012,1008,1008,20776373
2020-03-18,1025.300049,1035.900024,961,968.5,968.5,20449241
2020-03-19,920.099976,967,892.200012,917.700012,917.700012,28071848
2020-03-20,939.5,1034.900024,930,1017.950012,1017.950012,28966278
2020-03-23,916.200012,950,875.650024,884.049988,884.049988,18593390
2020-03-24,930,970,895.799988,943.400024,943.400024,20908452
2020-03-25,963.799988,1151.550049,963.25,1082.25,1082.25,33432712
2020-03-26,1095.800049,1116.900024,1042.349976,1066.199951,1066.199951,20912841
2020-03-27,1095,1107.300049,1046.199951,1065.599976,1065.599976,19044609
2020-03-30,1040.599976,1074.800049,1020,1030.449951,1030.449951,13820078
2020-03-31,1073.949951,1129.800049,1048,1113.75,1113.75,20249183
2020-04-01,1122.25,1124.599976,1045.199951,1080.449951,1080.449951,19016959
2020-04-03,1134.449951,1134.449951,1056.300049,1077.449951,1077.449951,18911970
2020-04-07,1102.099976,1214,1100,1206.099976,1206.099976,24857792
2020-04-08,1180,1229,1160,1192.150024,1192.150024,22803609
2020-04-09,1214,1232.800049,1193,1219.949951,1219.949951,15101511
2020-04-13,1203.949951,1215,1180,1189.150024,1189.150024,10822858
2020-04-15,1197.050049,1236,1143,1149.849976,1149.849976,16147958
2020-04-16,1149.849976,1187.449951,1145,1168.050049,1168.050049,17123489
2020-04-17,1216,1230,1192.650024,1224,1224,15209621
2020-04-20,1226,1257,1202,1243.800049,1243.800049,16472130
2020-04-21,1210,1252,1164,1237.349976,1237.349976,28057044
2020-04-22,1320,1384.900024,1300,1363.599976,1363.599976,65230035
2020-04-23,1367.349976,1385.849976,1353.300049,1370.900024,1370.900024,29928168
2020-04-24,1350.150024,1494.949951,1347.199951,1417,1417,61711199
2020-04-27,1434,1475,1423,1429.75,1429.75,26736415
2020-04-28,1450,1455.449951,1392.150024,1428.150024,1428.150024,35866256
2020-04-29,1444.900024,1453.650024,1420,1426.949951,1426.949951,17141303
2020-04-30,1440.300049,1480.910034,1424.550049,1452.22998,1452.22998,32926121
2020-05-04,1426.47998,1451.23999,1404.140015,1421.719971,1421.719971,24670336
2020-05-05,1440.050049,1465.109985,1433.609985,1446.930054,1446.930054,20723079
2020-05-06,1450.25,1471.01001,1431.930054,1447.030029,1447.030029,18685710
2020-05-07,1441.339966,1499.439941,1431.430054,1492.800049,1492.800049,23087436
2020-05-08,1530.48999,1565.060059,1522.670044,1547.130005,1547.130005,38887255
2020-05-11,1565.160034,1599.839966,1557.540039,1561.98999,1561.98999,30959745
2020-05-12,1550.109985,1553.619995,1451.23999,1465.359985,1465.359985,46465281
2020-05-13,1527,1527,1454,1496.449951,1496.449951,30657492
2020-05-14,1469,1496.699951,1430.050049,1435.949951,1435.949951,22736607
2020-05-15,1444,1466.699951,1415.099976,1459.400024,1459.400024,28683258
2020-05-18,1470,1482,1428,1440.75,1440.75,28980385
2020-05-19,1457,1461.699951,1403.25,1408.900024,1408.900024,19528760
2020-05-20,1410,1446.849976,1393,1433.699951,1433.699951,25530626
