Date,Open,High,Low,Close,Adj Close,Volume
2019-06-06,352.799988,355.950012,348.5,353.799988,353.799988,10317108
2019-06-07,353.799988,361.950012,351.799988,357.100006,357.100006,5771494
2019-06-10,354.799988,364.649994,353.649994,363.450012,363.450012,5882086
2019-06-11,363,366.950012,358.25,363.25,363.25,5563691
2019-06-12,362.399994,362.399994,357.100006,359.899994,359.899994,2815172
2019-06-13,357.049988,364.950012,357.049988,363.75,363.75,3768622
2019-06-14,362.549988,362.950012,351.649994,353.299988,353.299988,5075586
2019-06-17,355.600006,355.600006,342.100006,344,344,6956493
2019-06-18,345.399994,347.350006,341.200012,345.149994,345.149994,4885837
2019-06-19,346.5,348,334.299988,341.100006,341.100006,3934382
2019-06-20,339.25,350,339.200012,348.549988,348.549988,3498169
2019-06-21,347.5,349.899994,342.700012,343.799988,343.799988,9584254
2019-06-24,345.149994,348.549988,343.5,345.100006,345.100006,3249667
2019-06-25,345.450012,352,344.549988,348.600006,348.600006,2796405
2019-06-26,350,352,342.549988,345.549988,345.549988,4645627
2019-06-27,347.25,350.850006,340.899994,348.649994,348.649994,12895120
2019-06-28,348.399994,350,342.5,346.649994,346.649994,8576035
2019-07-01,347,349.850006,345.149994,348.5,348.5,3405198
2019-07-02,349,354.5,347.350006,353.600006,353.600006,3745884
2019-07-03,352.899994,356.5,349.75,353.200012,353.200012,8317090
2019-07-04,353.350006,365,353,362.75,362.75,8407402
2019-07-05,362.75,371.149994,360.5,364.799988,364.799988,6751716
2019-07-08,362,364.399994,354.450012,356.399994,356.399994,3478536
2019-07-09,356,363.25,354.100006,362.299988,362.299988,3859398
2019-07-10,362.899994,364.899994,353.649994,358.549988,358.549988,5201801
2019-07-11,358.25,362.399994,356.299988,360.75,360.75,3448755
2019-07-12,360.799988,360.799988,354.149994,356.100006,356.100006,4662763
2019-07-15,357.600006,359.399994,349.149994,350.600006,350.600006,3459346
2019-07-16,351,354.950012,349.649994,350.75,350.75,3584392
2019-07-17,350.549988,353.399994,344.799988,346.25,346.25,4677593
2019-07-18,348,351.200012,338.600006,342.5,342.5,3642763
2019-07-19,343.5,346,336.100006,339.950012,339.950012,2470956
2019-07-22,339,343.5,335.600006,342.549988,342.549988,3062655
2019-07-23,342.950012,348.5,337.399994,343.600006,343.600006,3614547
2019-07-24,344,344.75,335.75,338.899994,338.899994,4751577
2019-07-25,335,343.450012,334.549988,339,339,7460110
2019-07-26,338,338.899994,328.200012,334.899994,334.899994,4995313
2019-07-29,334.700012,336.450012,328.100006,334.549988,334.549988,4979396
